Pixel, DCT DC, DCT_1 DC, FAST DC, FAST DC IDCT
0, 0, 0, 0, 0
1, 130, 128, 128, 1
2, 254, 256, 256, 2
3, 385, 384, 384, 3
4, 515, 512, 512, 4
5, 639, 640, 640, 5
6, 769, 768, 768, 6
7, 899, 896, 896, 7
8, 1024, 1024, 1024, 8
9, 1154, 1152, 1152, 9
10, 1278, 1280, 1280, 10
11, 1408, 1408, 1408, 11
12, 1539, 1536, 1536, 12
13, 1663, 1664, 1664, 13
14, 1793, 1792, 1792, 14
15, 1923, 1920, 1920, 15
16, 2048, 2048, 2048, 16
17, 2178, 2176, 2176, 17
18, 2302, 2304, 2304, 18
19, 2432, 2432, 2432, 19
20, 2562, 2560, 2560, 20
21, 2687, 2688, 2688, 21
22, 2817, 2816, 2816, 22
23, 2947, 2944, 2944, 23
24, 3071, 3072, 3072, 24
25, 3202, 3200, 3200, 25
26, 3326, 3328, 3328, 26
27, 3456, 3456, 3456, 27
28, 3586, 3584, 3584, 28
29, 3711, 3712, 3712, 29
30, 3841, 3840, 3840, 30
31, 3971, 3968, 3968, 31
32, 4095, 4096, 4096, 32
33, 4225, 4224, 4224, 33
34, 4350, 4352, 4352, 34
35, 4480, 4480, 4480, 35
36, 4610, 4608, 4608, 36
37, 4735, 4736, 4736, 37
38, 4865, 4864, 4864, 38
39, 4995, 4992, 4992, 39
40, 5119, 5120, 5120, 40
41, 5249, 5248, 5248, 41
42, 5374, 5376, 5376, 42
43, 5504, 5504, 5504, 43
44, 5634, 5632, 5632, 44
45, 5758, 5760, 5760, 45
46, 5889, 5888, 5888, 46
47, 6019, 6016, 6016, 47
48, 6143, 6144, 6144, 48
49, 6273, 6272, 6272, 49
50, 6398, 6400, 6400, 50
51, 6528, 6528, 6528, 51
52, 6658, 6656, 6656, 52
53, 6782, 6784, 6784, 53
54, 6912, 6912, 6912, 54
55, 7043, 7040, 7040, 55
56, 7167, 7168, 7168, 56
57, 7297, 7296, 7296, 57
58, 7422, 7424, 7424, 58
59, 7552, 7552, 7552, 59
60, 7682, 7680, 7680, 60
61, 7806, 7808, 7808, 61
62, 7936, 7936, 7936, 62
63, 8066, 8064, 8064, 63
64, 8191, 8192, 8192, 64
65, 8321, 8320, 8320, 65
66, 8451, 8448, 8448, 66
67, 8575, 8576, 8576, 67
68, 8706, 8704, 8704, 68
69, 8830, 8832, 8832, 69
70, 8960, 8960, 8960, 70
71, 9090, 9088, 9088, 71
72, 9215, 9216, 9216, 72
73, 9345, 9344, 9344, 73
74, 9475, 9472, 9472, 74
75, 9599, 9600, 9600, 75
76, 9729, 9728, 9728, 76
77, 9854, 9856, 9856, 77
78, 9984, 9984, 9984, 78
79, 10114, 10112, 10112, 79
80, 10239, 10240, 10240, 80
81, 10369, 10368, 10368, 81
82, 10499, 10496, 10496, 82
83, 10623, 10624, 10624, 83
84, 10753, 10752, 10752, 84
85, 10878, 10880, 10880, 85
86, 11008, 11008, 11008, 86
87, 11138, 11136, 11136, 87
88, 11262, 11264, 11264, 88
